universe,score,label,liquidity,horizon,decile,mean_ret,win_rate,n_days
full,flow_turn_cont_5d,prior_ret(5d)×法人流量/成交額 (turnover-norm 對照),all,5,2,0.002304880057881609,0.6011602610587382,2758
full,flow_turn_cont_5d,prior_ret(5d)×法人流量/成交額 (turnover-norm 對照),all,5,3,0.002358044368386277,0.6174764321972444,2758
full,flow_turn_cont_5d,prior_ret(5d)×法人流量/成交額 (turnover-norm 對照),all,5,4,0.0025454995810722065,0.6218274111675127,2758
full,flow_turn_cont_5d,prior_ret(5d)×法人流量/成交額 (turnover-norm 對照),all,5,5,0.002290600295696127,0.6142131979695431,2758
full,flow_turn_cont_5d,prior_ret(5d)×法人流量/成交額 (turnover-norm 對照),all,5,6,0.0025666104593791593,0.6174764321972444,2758
full,flow_turn_cont_5d,prior_ret(5d)×法人流量/成交額 (turnover-norm 對照),all,5,7,0.0022858479043554813,0.6113125453226976,2758
full,flow_turn_cont_5d,prior_ret(5d)×法人流量/成交額 (turnover-norm 對照),all,5,8,0.0024660245747125495,0.603698332124728,2758
full,flow_turn_cont_5d,prior_ret(5d)×法人流量/成交額 (turnover-norm 對照),all,5,9,0.0027585761485823565,0.6004350978970269,2758
full,flow_turn_cont_5d,prior_ret(5d)×法人流量/成交額 (turnover-norm 對照),all,5,10,0.0034718491759620444,0.612037708484409,2758
full,flow_turn_cont_5d,prior_ret(5d)×法人流量/成交額 (turnover-norm 對照),all,20,1,0.009311799109676434,0.5927816259569814,2743
full,flow_turn_cont_5d,prior_ret(5d)×法人流量/成交額 (turnover-norm 對照),all,20,2,0.009386372720382943,0.6059059423988334,2743
full,flow_turn_cont_5d,prior_ret(5d)×法人流量/成交額 (turnover-norm 對照),all,20,3,0.009714392605794788,0.6226759022967554,2743
full,flow_turn_cont_5d,prior_ret(5d)×法人流量/成交額 (turnover-norm 對照),all,20,4,0.009746321035615377,0.6106452788917244,2743
full,flow_turn_cont_5d,prior_ret(5d)×法人流量/成交額 (turnover-norm 對照),all,20,5,0.009647894700598183,0.6135617936565804,2743
full,flow_turn_cont_5d,prior_ret(5d)×法人流量/成交額 (turnover-norm 對照),all,20,6,0.009895949059399329,0.6219467736055414,2743
full,flow_turn_cont_5d,prior_ret(5d)×法人流量/成交額 (turnover-norm 對照),all,20,7,0.009516491855355804,0.6135617936565804,2743
full,flow_turn_cont_5d,prior_ret(5d)×法人流量/成交額 (turnover-norm 對照),all,20,8,0.009524318526762608,0.6139263580021874,2743
full,flow_turn_cont_5d,prior_ret(5d)×法人流量/成交額 (turnover-norm 對照),all,20,9,0.010485077138063077,0.6164783084214364,2743
full,flow_turn_cont_5d,prior_ret(5d)×法人流量/成交額 (turnover-norm 對照),all,20,10,0.011434404756287197,0.6292380605176814,2743
full,flow_turn_cont_5d,prior_ret(5d)×法人流量/成交額 (turnover-norm 對照),all,60,1,0.02702778783717015,0.654458009618942,2703
full,flow_turn_cont_5d,prior_ret(5d)×法人流量/成交額 (turnover-norm 對照),all,60,2,0.027509785813733936,0.6703662597114317,2703
full,flow_turn_cont_5d,prior_ret(5d)×法人流量/成交額 (turnover-norm 對照),all,60,3,0.0289137381680352,0.6729559748427673,2703
full,flow_turn_cont_5d,prior_ret(5d)×法人流量/成交額 (turnover-norm 對照),all,60,4,0.02880405033281656,0.6873843877173511,2703
full,flow_turn_cont_5d,prior_ret(5d)×法人流量/成交額 (turnover-norm 對照),all,60,5,0.028796242760303934,0.6770255271920089,2703
full,flow_turn_cont_5d,prior_ret(5d)×法人流量/成交額 (turnover-norm 對照),all,60,6,0.02968079042058765,0.681465038845727,2703
full,flow_turn_cont_5d,prior_ret(5d)×法人流量/成交額 (turnover-norm 對照),all,60,7,0.0288883192576214,0.6796152423233445,2703
full,flow_turn_cont_5d,prior_ret(5d)×法人流量/成交額 (turnover-norm 對照),all,60,8,0.02791512175928622,0.6618571957084721,2703
full,flow_turn_cont_5d,prior_ret(5d)×法人流量/成交額 (turnover-norm 對照),all,60,9,0.028440389131102705,0.6651868294487606,2703
full,flow_turn_cont_5d,prior_ret(5d)×法人流量/成交額 (turnover-norm 對照),all,60,10,0.03195322744537004,0.6655567887532371,2703
full,flow_turn_cont_20d,prior_ret(20d)×法人流量/成交額 (turnover-norm 對照),all,5,1,0.001756838615309965,0.5901342038447588,2757
full,flow_turn_cont_20d,prior_ret(20d)×法人流量/成交額 (turnover-norm 對照),all,5,2,0.001962450526225939,0.5926731955023576,2757
full,flow_turn_cont_20d,prior_ret(20d)×法人流量/成交額 (turnover-norm 對照),all,5,3,0.0023532335954651105,0.613347841857091,2757
full,flow_turn_cont_20d,prior_ret(20d)×法人流量/成交額 (turnover-norm 對照),all,5,4,0.002487160930916181,0.6198766775480595,2757
full,flow_turn_cont_20d,prior_ret(20d)×法人流量/成交額 (turnover-norm 對照),all,5,5,0.0023798144057472605,0.6140732680449764,2757
full,flow_turn_cont_20d,prior_ret(20d)×法人流量/成交額 (turnover-norm 對照),all,5,6,0.002640530175206532,0.6140732680449764,2757
full,flow_turn_cont_20d,prior_ret(20d)×法人流量/成交額 (turnover-norm 對照),all,5,7,0.002619278401293106,0.6169749727965179,2757
full,flow_turn_cont_20d,prior_ret(20d)×法人流量/成交額 (turnover-norm 對照),all,5,8,0.0026569234220736684,0.6053681537903518,2757
full,flow_turn_cont_20d,prior_ret(20d)×法人流量/成交額 (turnover-norm 對照),all,5,9,0.0030744892124967204,0.6144359811389191,2757
full,flow_turn_cont_20d,prior_ret(20d)×法人流量/成交額 (turnover-norm 對照),all,5,10,0.003052977326750388,0.6079071454479507,2757
full,flow_turn_cont_20d,prior_ret(20d)×法人流量/成交額 (turnover-norm 對照),all,20,1,0.007443951231847841,0.5955506929248724,2742
full,flow_turn_cont_20d,prior_ret(20d)×法人流量/成交額 (turnover-norm 對照),all,20,2,0.008391523323054486,0.600291757840992,2742
full,flow_turn_cont_20d,prior_ret(20d)×法人流量/成交額 (turnover-norm 對照),all,20,3,0.009658559331473268,0.6064916119620715,2742
full,flow_turn_cont_20d,prior_ret(20d)×法人流量/成交額 (turnover-norm 對照),all,20,4,0.010030166080957767,0.6236323851203501,2742
