score,label,liquidity,horizon,direction,ic_mean,ic_ir,ic_win,ic_t,ic_n,gross_spread,cost_roundtrip,net_spread,monotonic_rho,net_vs_rvol
interact_turn_5d,prior_ret(5d)×turnover 交互,liq_50m,20,top,-0.016149885128266823,-0.16543024167685344,42.86004468819825,-11.607262925082447,4923,0.0031800786203133036,0.0025,-0.0018199213796866965,0.12727272727272726,-0.0014375377711510814
interact_turn_5d,prior_ret(5d)×turnover 交互,liq_50m,20,top,-0.016149885128266823,-0.16543024167685344,42.86004468819825,-11.607262925082447,4923,0.0031800786203133036,0.0035,-0.0038199213796866966,0.12727272727272726,-0.0014375377711510814
interact_turn_5d,prior_ret(5d)×turnover 交互,liq_50m,60,top,-0.015454898657931428,-0.16051460767685366,42.20765922588573,-11.216514542975716,4883,0.00617262283005076,0.0025,0.0011726228300507598,0.18787878787878787,0.001611943803942105
interact_turn_5d,prior_ret(5d)×turnover 交互,liq_50m,60,top,-0.015454898657931428,-0.16051460767685366,42.20765922588573,-11.216514542975716,4883,0.00617262283005076,0.0035,-0.0008273771699492402,0.18787878787878787,0.001611943803942105
interact_turn_20d,prior_ret(20d)×turnover 交互,liq_50m,10,top,-0.014316506637513323,-0.13833942940744604,44.4962497466045,-9.716313920209691,4933,0.0035546859791742453,0.0025,-0.0014453140208257548,0.41818181818181815,-0.0006077203842394067
interact_turn_20d,prior_ret(20d)×turnover 交互,liq_50m,10,top,-0.014316506637513323,-0.13833942940744604,44.4962497466045,-9.716313920209691,4933,0.0035546859791742453,0.0035,-0.003445314020825755,0.41818181818181815,-0.0006077203842394067
interact_turn_20d,prior_ret(20d)×turnover 交互,liq_50m,20,top,-0.017990985129801296,-0.17414767046791818,42.75848060125939,-12.218913412822314,4923,0.0032417297843802487,0.0025,-0.0017582702156197514,0.17575757575757575,-0.0013758866070841362
interact_turn_20d,prior_ret(20d)×turnover 交互,liq_50m,20,top,-0.017990985129801296,-0.17414767046791818,42.75848060125939,-12.218913412822314,4923,0.0032417297843802487,0.0035,-0.0037582702156197514,0.17575757575757575,-0.0013758866070841362
interact_turn_20d,prior_ret(20d)×turnover 交互,liq_50m,60,top,-0.02062791657740392,-0.1931547324816018,41.79807495392177,-13.497356391924725,4883,0.004887035589337077,0.0025,-0.00011296441066292306,0.18787878787878787,0.0003263565632284221
interact_turn_20d,prior_ret(20d)×turnover 交互,liq_50m,60,top,-0.02062791657740392,-0.1931547324816018,41.79807495392177,-13.497356391924725,4883,0.004887035589337077,0.0035,-0.002112964410662923,0.18787878787878787,0.0003263565632284221
rvol_only,純 RVOL baseline (對照),liq_50m,10,top,0.008920503875917397,0.07778035142746763,53.638922396461595,5.485583011962278,4974,0.004162406363413652,0.0025,-0.0008375936365863481,0.9757575757575757,0.0
rvol_only,純 RVOL baseline (對照),liq_50m,10,top,0.008920503875917397,0.07778035142746763,53.638922396461595,5.485583011962278,4974,0.004162406363413652,0.0035,-0.002837593636586348,0.9757575757575757,0.0
rvol_only,純 RVOL baseline (對照),liq_50m,20,top,0.009788413772158734,0.08670886759802328,53.605962933118455,6.109130478450506,4964,0.004617616391464385,0.0025,-0.00038238360853561516,0.9636363636363635,0.0
