score,label,liquidity,year,ic_mean,ic_ir,ic_win,ic_t,ic_n_days,ls_spread_20d,direction
sig_lambda_diverge,lambda 背離 (價漲+lambda 降=吸籌),liq_50m,2010,-0.0041008260297605865,-0.03194479410508128,47.599999999999994,-0.5050915437858854,250,0.00320695356969789,top
sig_lambda_diverge,lambda 背離 (價漲+lambda 降=吸籌),liq_50m,2011,-0.03200608536961667,-0.21134132719520154,40.89068825910931,-3.3214896771502125,247,-0.008881970147770785,top
sig_lambda_diverge,lambda 背離 (價漲+lambda 降=吸籌),liq_50m,2012,0.028725766960255507,0.19409486336984094,55.06072874493927,3.050440222112152,247,0.016180616683554357,top
sig_lambda_diverge,lambda 背離 (價漲+lambda 降=吸籌),liq_50m,2013,0.032691812851082504,0.2636819205326298,56.557377049180324,4.118843268764832,244,0.02120293129404841,top
sig_lambda_diverge,lambda 背離 (價漲+lambda 降=吸籌),liq_50m,2014,-0.008671257413457088,-0.09183298284267176,40.89068825910931,-1.4432686147187792,247,-0.001106810163427674,top
sig_lambda_diverge,lambda 背離 (價漲+lambda 降=吸籌),liq_50m,2015,-0.008745759715296406,-0.060769312020763196,47.950819672131146,-0.9492469990304722,244,0.002332279678046825,top
sig_lambda_diverge,lambda 背離 (價漲+lambda 降=吸籌),liq_50m,2016,-0.033192964259583416,-0.35530031917604105,38.114754098360656,-5.549968405388411,244,0.002036225509196285,top
sig_lambda_diverge,lambda 背離 (價漲+lambda 降=吸籌),liq_50m,2017,-0.032515495016121,-0.4323267535818211,31.70731707317073,-6.780780174743817,246,0.009558392123624259,top
sig_lambda_diverge,lambda 背離 (價漲+lambda 降=吸籌),liq_50m,2018,-0.02857570007028523,-0.17930286933597459,40.89068825910931,-2.817965787793041,247,0.0034474579985484845,top
sig_lambda_diverge,lambda 背離 (價漲+lambda 降=吸籌),liq_50m,2019,-0.06952385742024285,-0.5727324051874763,24.793388429752067,-8.90962528529361,242,-0.010247683205944939,top
sig_lambda_diverge,lambda 背離 (價漲+lambda 降=吸籌),liq_50m,2020,-0.014953701240918542,-0.0985077673744714,50.61224489795918,-1.5418904491273782,245,0.029370045652494764,top
sig_lambda_diverge,lambda 背離 (價漲+lambda 降=吸籌),liq_50m,2021,-0.04525326940454899,-0.3158763623115454,37.704918032786885,-4.93414651274064,244,0.011324804927215184,top
sig_lambda_diverge,lambda 背離 (價漲+lambda 降=吸籌),liq_50m,2022,-0.05919923203995802,-0.4626377282569703,33.33333333333333,-7.256189236180758,246,-0.008207945357785289,top
sig_lambda_diverge,lambda 背離 (價漲+lambda 降=吸籌),liq_50m,2023,-0.020946263479690072,-0.1891201863399585,38.912133891213394,-2.9237271293028164,239,0.006193830606667408,top
sig_lambda_diverge,lambda 背離 (價漲+lambda 降=吸籌),liq_50m,2024,-0.009324173787292181,-0.09871634225422146,45.867768595041326,-1.5356658904816263,242,0.02010189399434894,top
sig_lambda_diverge,lambda 背離 (價漲+lambda 降=吸籌),liq_50m,2025,0.008551567610949492,0.05855427810756485,53.90946502057613,0.9127708621453829,243,0.020767992684285096,top
sig_lambda_diverge,lambda 背離 (價漲+lambda 降=吸籌),liq_50m,2026,0.04415169216178959,0.3472572433848619,61.25000000000001,3.1059632075509622,80,0.051197797816957005,top
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),liq_50m,2006,-0.03516451144680178,-0.20145570770987342,42.54385964912281,-3.0419144784996828,228,0.008621307364540698,top
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),liq_50m,2007,0.028194703937453335,0.21838226579804199,55.96707818930041,3.4042426185079786,243,0.004050347967004715,top
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),liq_50m,2008,-0.04411844936758392,-0.22193978842093381,40.16064257028113,-3.502150789357575,249,-0.027612051169457925,top
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),liq_50m,2009,-0.0012728891096055494,-0.007255912166835391,48.178137651821864,-0.1140356109252236,247,-0.0046926653604056345,top
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),liq_50m,2010,0.02007209319765272,0.1528241995126111,57.599999999999994,2.4163627602592266,250,0.008622416072585994,top
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),liq_50m,2011,-0.005199227783651377,-0.031237967430530186,51.012145748987855,-0.4909431947487851,247,-0.001207534742222606,top
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),liq_50m,2012,0.038378385117997314,0.25878223234378134,58.2995951417004,4.067082026819378,247,0.011691679648402703,top
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),liq_50m,2013,0.012585268657141263,0.09681243610357841,52.04918032786885,1.512258595403414,244,0.013501835914313191,top
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),liq_50m,2014,-0.0017324004590120027,-0.016006365780779134,47.77327935222672,-0.2515597844260883,247,0.0005905721429782587,top
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),liq_50m,2015,0.010466687275931167,0.07181632634215139,53.278688524590166,1.1218068790771887,244,0.007757552942429029,top
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),liq_50m,2016,-0.015190848831687108,-0.1496003329334326,44.67213114754098,-2.336831903617739,244,0.008289196578517507,top
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),liq_50m,2017,-0.024475963070163358,-0.32505685657977906,36.17886178861789,-5.0983175815501784,246,0.012135901835931233,top
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),liq_50m,2018,-0.012406760351474175,-0.07844344852386699,46.15384615384615,-1.23283556495998,247,0.010479190130468025,top
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),liq_50m,2019,-0.0666129142195829,-0.5295185920426941,32.231404958677686,-8.237376118350324,242,-0.011177444545057313,top
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),liq_50m,2020,-0.017523057329263344,-0.10983241463360763,51.42857142857142,-1.719149216775825,245,0.025314623923283635,top
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),liq_50m,2021,-0.04310119572617389,-0.29026056966961994,35.65573770491803,-4.534015040381259,244,0.005092320818485721,top
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),liq_50m,2022,-0.06213149158896553,-0.47449938324742474,33.33333333333333,-7.442232025188269,246,-0.01168273407181157,top
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),liq_50m,2023,-0.01644656371511735,-0.1552185519254134,40.58577405857741,-2.3996205800033303,239,0.010384470280159281,top
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),liq_50m,2024,0.004226165679411928,0.04449354164206025,53.30578512396694,0.6921570703103503,242,0.025227132404136383,top
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),liq_50m,2025,0.016269310424672497,0.11037234566090826,55.144032921810705,1.7205345939172267,243,0.027400724725441594,top
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),liq_50m,2026,0.07442563369953487,0.5217328204774679,71.25,4.6665202107212505,80,0.071482753042043,top
