stop_mult,be_mult,stop_ceil,ma20_mult,train_sharpe,train_mean,train_rank,test_sharpe,test_mean,test_rank,train_start,test_start,note
4.5,1.5,0.16,1.2,0.17254646053734768,0.016748480752347823,1.0,0.4108256926950634,0.04091166567128048,21.0,2017-11-03,2018-01-26,train_top5
4.5,1.5,0.16,1.5,0.17254646053734768,0.016748480752347823,1.0,0.4108256926950634,0.04091166567128048,21.0,2017-11-03,2018-01-26,train_top5
4.5,1.5,0.16,1.8,0.17254646053734768,0.016748480752347823,1.0,0.4108256926950634,0.04091166567128048,21.0,2017-11-03,2018-01-26,train_top5
4.5,2.0,0.16,1.0,0.17254646053734768,0.016748480752347823,1.0,0.4108256926950634,0.04091166567128048,21.0,2017-11-03,2018-01-26,train_top5
3.0,3.0,0.14,1.2,0.164847509271528,0.015933341639382252,21.0,0.36693304203414273,0.03769343229167442,141.0,2017-11-03,2018-01-26,baseline
4.5,1.5,0.16,1.0,0.37858604187975814,0.036439084893075124,1.0,0.1662992017031207,0.01302124932181543,441.0,2017-12-01,2018-02-23,train_top5
4.5,1.5,0.16,1.2,0.37858604187975814,0.036439084893075124,1.0,0.1662992017031207,0.01302124932181543,441.0,2017-12-01,2018-02-23,train_top5
4.5,1.5,0.16,1.5,0.37858604187975814,0.036439084893075124,1.0,0.1662992017031207,0.01302124932181543,441.0,2017-12-01,2018-02-23,train_top5
4.5,1.5,0.16,1.8,0.37858604187975814,0.036439084893075124,1.0,0.1662992017031207,0.01302124932181543,441.0,2017-12-01,2018-02-23,train_top5
4.5,2.0,0.16,1.0,0.37858604187975814,0.036439084893075124,1.0,0.1662992017031207,0.01302124932181543,441.0,2017-12-01,2018-02-23,train_top5
3.0,3.0,0.14,1.2,0.35298840824233635,0.034445340801707504,81.0,0.1915106805306126,0.0144469565916032,321.0,2017-12-01,2018-02-23,baseline
3.0,1.5,0.16,1.0,0.30910724878364515,0.02890204603750605,1.0,-0.3421042307949411,-0.026990555828185978,261.0,2017-12-29,2018-03-23,train_top5
3.0,1.5,0.16,1.2,0.30910724878364515,0.02890204603750605,1.0,-0.3421042307949411,-0.026990555828185978,261.0,2017-12-29,2018-03-23,train_top5
3.0,1.5,0.16,1.5,0.30910724878364515,0.02890204603750605,1.0,-0.3421042307949411,-0.026990555828185978,261.0,2017-12-29,2018-03-23,train_top5
3.0,1.5,0.16,1.8,0.30910724878364515,0.02890204603750605,1.0,-0.3421042307949411,-0.026990555828185978,261.0,2017-12-29,2018-03-23,train_top5
3.0,2.0,0.16,1.0,0.30910724878364515,0.02890204603750605,1.0,-0.3421042307949411,-0.026990555828185978,261.0,2017-12-29,2018-03-23,train_top5
3.0,3.0,0.14,1.2,0.29716438539628587,0.028025923445835575,61.0,-0.3344034301834025,-0.025711604124946903,221.0,2017-12-29,2018-03-23,baseline
2.0,1.5,0.1,1.0,0.08839617499639182,0.007299880578765812,1.0,0.505251054435606,0.04807183845467318,401.0,2018-01-26,2018-04-20,train_top5
2.0,1.5,0.1,1.2,0.08839617499639182,0.007299880578765812,1.0,0.505251054435606,0.04807183845467318,401.0,2018-01-26,2018-04-20,train_top5
2.0,1.5,0.1,1.5,0.08839617499639182,0.007299880578765812,1.0,0.505251054435606,0.04807183845467318,401.0,2018-01-26,2018-04-20,train_top5
2.0,1.5,0.1,1.8,0.08839617499639182,0.007299880578765812,1.0,0.505251054435606,0.04807183845467318,401.0,2018-01-26,2018-04-20,train_top5
2.0,2.0,0.1,1.0,0.08839617499639182,0.007299880578765812,1.0,0.505251054435606,0.04807183845467318,401.0,2018-01-26,2018-04-20,train_top5
3.0,3.0,0.14,1.2,0.05144293157039814,0.004586574447742071,181.0,0.6233294791052917,0.05934641370791968,121.0,2018-01-26,2018-04-20,baseline
2.0,1.5,0.1,1.0,0.10982483611825136,0.009018961571220088,1.0,-0.1894125260063973,-0.012268104748274989,101.0,2018-02-23,2018-05-18,train_top5
2.0,1.5,0.1,1.2,0.10982483611825136,0.009018961571220088,1.0,-0.1894125260063973,-0.012268104748274989,101.0,2018-02-23,2018-05-18,train_top5
2.0,1.5,0.1,1.5,0.10982483611825136,0.009018961571220088,1.0,-0.1894125260063973,-0.012268104748274989,101.0,2018-02-23,2018-05-18,train_top5
2.0,1.5,0.1,1.8,0.10982483611825136,0.009018961571220088,1.0,-0.1894125260063973,-0.012268104748274989,101.0,2018-02-23,2018-05-18,train_top5
2.0,2.0,0.1,1.0,0.10982483611825136,0.009018961571220088,1.0,-0.1894125260063973,-0.012268104748274989,101.0,2018-02-23,2018-05-18,train_top5
3.0,3.0,0.14,1.2,0.09391727103597705,0.00831501041656469,161.0,-0.23317848519469242,-0.015877659935653758,401.0,2018-02-23,2018-05-18,baseline
3.5,1.5,0.14,1.0,0.0030548573050894795,0.0002661011513879955,1.0,-0.47502461662644196,-0.03294129192207068,61.0,2018-03-23,2018-06-15,train_top5
3.5,1.5,0.14,1.2,0.0030548573050894795,0.0002661011513879955,1.0,-0.47502461662644196,-0.03294129192207068,61.0,2018-03-23,2018-06-15,train_top5
3.5,1.5,0.14,1.5,0.0030548573050894795,0.0002661011513879955,1.0,-0.47502461662644196,-0.03294129192207068,61.0,2018-03-23,2018-06-15,train_top5
3.5,1.5,0.14,1.8,0.0030548573050894795,0.0002661011513879955,1.0,-0.47502461662644196,-0.03294129192207068,61.0,2018-03-23,2018-06-15,train_top5
3.5,2.0,0.14,1.0,0.0030548573050894795,0.0002661011513879955,1.0,-0.47502461662644196,-0.03294129192207068,61.0,2018-03-23,2018-06-15,train_top5
3.0,3.0,0.14,1.2,-0.011724269296445013,-0.001020889563526623,241.0,-0.5044305960638844,-0.03370498338213775,141.0,2018-03-23,2018-06-15,baseline
3.5,1.5,0.16,1.0,0.03630591160150823,0.003083176958568434,1.0,-0.22639866803722383,-0.02005880714784883,301.0,2018-04-20,2018-07-13,train_top5
3.5,1.5,0.16,1.2,0.03630591160150823,0.003083176958568434,1.0,-0.22639866803722383,-0.02005880714784883,301.0,2018-04-20,2018-07-13,train_top5
3.5,1.5,0.16,1.5,0.03630591160150823,0.003083176958568434,1.0,-0.22639866803722383,-0.02005880714784883,301.0,2018-04-20,2018-07-13,train_top5
3.5,1.5,0.16,1.8,0.03630591160150823,0.003083176958568434,1.0,-0.22639866803722383,-0.02005880714784883,301.0,2018-04-20,2018-07-13,train_top5
3.5,2.0,0.16,1.0,0.03630591160150823,0.003083176958568434,1.0,-0.22639866803722383,-0.02005880714784883,301.0,2018-04-20,2018-07-13,train_top5
3.0,3.0,0.14,1.2,-0.0029223068409476305,-0.0002511488435745841,141.0,-0.23208359989366995,-0.01967878227754819,321.0,2018-04-20,2018-07-13,baseline
4.0,1.5,0.16,1.0,-0.27249387127083285,-0.0204230938532293,1.0,-0.3294457092323427,-0.022973183282089173,281.0,2018-05-18,2018-08-10,train_top5
4.0,1.5,0.16,1.2,-0.27249387127083285,-0.0204230938532293,1.0,-0.3294457092323427,-0.022973183282089173,281.0,2018-05-18,2018-08-10,train_top5
4.0,1.5,0.16,1.5,-0.27249387127083285,-0.0204230938532293,1.0,-0.3294457092323427,-0.022973183282089173,281.0,2018-05-18,2018-08-10,train_top5
4.0,1.5,0.16,1.8,-0.27249387127083285,-0.0204230938532293,1.0,-0.3294457092323427,-0.022973183282089173,281.0,2018-05-18,2018-08-10,train_top5
4.0,2.0,0.16,1.0,-0.27249387127083285,-0.0204230938532293,1.0,-0.3294457092323427,-0.022973183282089173,281.0,2018-05-18,2018-08-10,train_top5
3.0,3.0,0.14,1.2,-0.3198084384482255,-0.023377215021501748,181.0,-0.28309754725185665,-0.017806859948000724,81.0,2018-05-18,2018-08-10,baseline
2.0,1.5,0.14,1.0,0.002584611972971399,0.00018104186114174475,1.0,0.7215371929750984,0.05574546217235043,321.0,2019-03-08,2019-05-31,train_top5
2.0,1.5,0.14,1.2,0.002584611972971399,0.00018104186114174475,1.0,0.7215371929750984,0.05574546217235043,321.0,2019-03-08,2019-05-31,train_top5
2.0,1.5,0.14,1.5,0.002584611972971399,0.00018104186114174475,1.0,0.7215371929750984,0.05574546217235043,321.0,2019-03-08,2019-05-31,train_top5
2.0,1.5,0.14,1.8,0.002584611972971399,0.00018104186114174475,1.0,0.7215371929750984,0.05574546217235043,321.0,2019-03-08,2019-05-31,train_top5
2.0,1.5,0.16,1.0,0.002584611972971399,0.00018104186114174475,1.0,0.7215371929750984,0.05574546217235043,321.0,2019-03-08,2019-05-31,train_top5
3.0,3.0,0.14,1.2,-0.027020324206452898,-0.0020152178852347706,241.0,0.758659651546105,0.057588477518544505,81.0,2019-03-08,2019-05-31,baseline
4.5,1.5,0.16,1.0,0.1239834142793501,0.010048232200604261,1.0,-0.10604994553258108,-0.009115469907632965,461.0,2019-04-03,2019-06-28,train_top5
