n_weeks,n_years,cagr,vol_annual,sharpe,mdd,hit_rate,run,period,side,cfg_min_hold,cfg_tp,cfg_rebal,cfg_defer
155,2.98,6.03,7.57,0.664,-10.44,14.2,rule7_defer1mo,IS_2020_2022,value,40,none,13,1
155,2.98,1.83,11.55,0.072,-17.65,32.9,rule7_defer1mo,IS_2020_2022,qm,40,none,13,1
155,2.98,4.12,7.37,0.424,-13.34,40.6,rule7_defer1mo,IS_2020_2022,dual,40,none,13,1
51,0.98,0.0,0.0,,0.0,0.0,rule7_defer1mo,OOS_2023,value,40,none,13,1
51,0.98,24.3,10.45,2.229,-4.05,35.3,rule7_defer1mo,OOS_2023,qm,40,none,13,1
51,0.98,11.65,5.23,2.038,-2.03,35.3,rule7_defer1mo,OOS_2023,dual,40,none,13,1
52,1.0,2.62,4.04,0.401,-2.4,11.5,rule7_defer1mo,OOS_2024,value,40,none,13,1
52,1.0,6.63,8.77,0.642,-5.66,40.4,rule7_defer1mo,OOS_2024,qm,40,none,13,1
52,1.0,4.7,5.33,0.695,-2.84,42.3,rule7_defer1mo,OOS_2024,dual,40,none,13,1
51,0.98,-5.85,13.06,-0.524,-16.4,17.6,rule7_defer1mo,OOS_2025,value,40,none,13,1
51,0.98,-7.95,9.15,-0.979,-11.16,25.5,rule7_defer1mo,OOS_2025,qm,40,none,13,1
51,0.98,-6.65,8.48,-0.902,-8.61,31.4,rule7_defer1mo,OOS_2025,dual,40,none,13,1
309,5.94,1.71,8.04,0.088,-17.77,11.7,rule7_defer1mo,FULL_2020_2025,value,40,none,13,1
309,5.94,6.25,11.2,0.469,-17.65,36.2,rule7_defer1mo,FULL_2020_2025,qm,40,none,13,1
309,5.94,4.18,7.11,0.448,-13.34,42.1,rule7_defer1mo,FULL_2020_2025,dual,40,none,13,1
155,2.98,5.62,8.41,0.549,-13.68,18.7,rule7_defer6mo,IS_2020_2022,value,40,none,13,6
155,2.98,1.83,11.55,0.072,-17.65,32.9,rule7_defer6mo,IS_2020_2022,qm,40,none,13,6
155,2.98,3.94,7.62,0.385,-13.34,44.5,rule7_defer6mo,IS_2020_2022,dual,40,none,13,6
51,0.98,0.0,0.0,,0.0,0.0,rule7_defer6mo,OOS_2023,value,40,none,13,6
51,0.98,24.3,10.45,2.229,-4.05,35.3,rule7_defer6mo,OOS_2023,qm,40,none,13,6
51,0.98,11.65,5.23,2.038,-2.03,35.3,rule7_defer6mo,OOS_2023,dual,40,none,13,6
52,1.0,2.62,4.04,0.401,-2.4,11.5,rule7_defer6mo,OOS_2024,value,40,none,13,6
52,1.0,6.63,8.77,0.642,-5.66,40.4,rule7_defer6mo,OOS_2024,qm,40,none,13,6
52,1.0,4.7,5.33,0.695,-2.84,42.3,rule7_defer6mo,OOS_2024,dual,40,none,13,6
51,0.98,-2.29,13.73,-0.24,-13.31,31.4,rule7_defer6mo,OOS_2025,value,40,none,13,6
51,0.98,-7.95,9.15,-0.979,-11.16,25.5,rule7_defer6mo,OOS_2025,qm,40,none,13,6
51,0.98,-4.89,8.76,-0.672,-6.92,45.1,rule7_defer6mo,OOS_2025,dual,40,none,13,6
309,5.94,1.95,10.62,0.089,-22.24,20.1,rule7_defer6mo,FULL_2020_2025,value,40,none,13,6
309,5.94,6.25,11.2,0.469,-17.65,36.2,rule7_defer6mo,FULL_2020_2025,qm,40,none,13,6
309,5.94,4.35,8.13,0.413,-13.34,45.0,rule7_defer6mo,FULL_2020_2025,dual,40,none,13,6
155,2.98,23.69,11.09,2.046,-7.97,21.9,PRE_POLICY_COMBO,IS_2020_2022,value,20,tp_third,4,1
155,2.98,4.49,18.18,0.192,-23.64,33.5,PRE_POLICY_COMBO,IS_2020_2022,qm,20,tp_third,4,1
155,2.98,14.2,11.76,1.122,-11.78,42.6,PRE_POLICY_COMBO,IS_2020_2022,dual,20,tp_third,4,1
51,0.98,5.1,3.4,1.203,-0.31,5.9,PRE_POLICY_COMBO,OOS_2023,value,20,tp_third,4,1
51,0.98,10.98,18.94,0.527,-21.01,33.3,PRE_POLICY_COMBO,OOS_2023,qm,20,tp_third,4,1
51,0.98,8.45,10.1,0.738,-11.03,35.3,PRE_POLICY_COMBO,OOS_2023,dual,20,tp_third,4,1
52,1.0,11.53,8.31,1.266,-3.2,19.2,PRE_POLICY_COMBO,OOS_2024,value,20,tp_third,4,1
52,1.0,8.49,10.35,0.724,-7.77,48.1,PRE_POLICY_COMBO,OOS_2024,qm,20,tp_third,4,1
52,1.0,10.25,6.47,1.428,-3.94,59.6,PRE_POLICY_COMBO,OOS_2024,dual,20,tp_third,4,1
51,0.98,-3.66,12.94,-0.36,-17.9,13.7,PRE_POLICY_COMBO,OOS_2025,value,20,tp_third,4,1
51,0.98,19.92,15.57,1.215,-7.39,37.3,PRE_POLICY_COMBO,OOS_2025,qm,20,tp_third,4,1
51,0.98,7.95,10.7,0.65,-8.83,41.2,PRE_POLICY_COMBO,OOS_2025,dual,20,tp_third,4,1
309,5.94,12.44,10.88,1.052,-17.9,16.2,PRE_POLICY_COMBO,FULL_2020_2025,value,20,tp_third,4,1
309,5.94,11.72,19.01,0.564,-23.64,37.9,PRE_POLICY_COMBO,FULL_2020_2025,qm,20,tp_third,4,1
309,5.94,12.63,11.73,0.991,-11.78,43.7,PRE_POLICY_COMBO,FULL_2020_2025,dual,20,tp_third,4,1
