tp1,tp2,tp3,tp_scale_floor,tp_scale_ceil,n,realized_mean,realized_std,realized_sharpe,win_rate,sl_trigger_rate,tp1_trigger_rate,tp2_trigger_rate,tp3_trigger_rate,avg_holding_ret_no_tp,rr_median
0.08,0.22,0.3,0.7,1.2,12797,0.016855091534246833,0.13523488576137252,0.12463567695090401,0.4758927873720403,0.46346800031257324,0.4627647104790185,0.23911854340861138,0.15151988747362663,-0.012159059548589861,1.2444815702232335
0.08,0.22,0.3,0.9,1.2,12797,0.017007883299708017,0.13541605783532296,0.1255972413581187,0.4753457841681644,0.46346800031257324,0.45838868484801126,0.2365398140189107,0.1503477377510354,-0.00961627096090741,1.2444815702232335
0.08,0.22,0.3,0.5,1.4,12797,0.0199851893547742,0.14166960695441355,0.1410689969741007,0.4741736344455732,0.46346800031257324,0.45284050949441274,0.2032507618973197,0.1226068609830429,-0.011125973283668161,1.2444815702232335
0.08,0.22,0.3,0.7,1.4,12797,0.020030155561609444,0.14170779312719434,0.1413482993389837,0.4736266312416973,0.46346800031257324,0.4490114870672814,0.2023911854340861,0.12237243103852466,-0.009378851625126314,1.2444815702232335
0.08,0.22,0.3,0.9,1.4,12797,0.020182947327070627,0.14187728069874816,0.14225637274459482,0.4730796280378214,0.46346800031257324,0.44463546143627414,0.1998124560443854,0.12120028131593343,-0.007349007285017051,1.2444815702232335
0.08,0.22,0.3,0.5,1.6,12797,0.022350041686165688,0.14684514192978312,0.15220143746296216,0.4729233414081425,0.46346800031257324,0.441978588731734,0.17972962413065563,0.10400875205126202,-0.008935432458064038,1.2444815702232335
0.08,0.22,0.3,0.7,1.6,12797,0.02239500789300093,0.14688125860660953,0.15247015245819234,0.4723763382042666,0.46346800031257324,0.43814956630460267,0.17887004766742204,0.10377432210674377,-0.007466457273701634,1.2444815702232335
0.08,0.22,0.3,0.9,1.6,12797,0.02254779965846212,0.14704232593178004,0.15334224017187487,0.4718293350003907,0.46346800031257324,0.43377354067359536,0.17629131827772135,0.10260217238415253,-0.005732614794394631,1.2444815702232335
0.08,0.22,0.3,0.5,1.8,12797,0.023928208408021578,0.15061381717252764,0.15887126996198425,0.4721419082597484,0.46346800031257324,0.43252324763616473,0.16331952801437838,0.09275611471438619,-0.005540986038552737,1.2444815702232335
0.08,0.22,0.3,0.7,1.8,12797,0.023973174614856825,0.15064855929088955,0.1591331156945661,0.4715949050558725,0.46346800031257324,0.4286942252090334,0.1624599515511448,0.09252168476986794,-0.004321339746845338,1.2444815702232335
