quarter_end,n_total,top_dec_ret_3m,bot_dec_ret_3m,f_ge_8_ret_3m,f_ge_7_ret_3m,f_le_5_ret_3m,n_ge_8,n_ge_7,n_le_5,top_dec_ret_6m,bot_dec_ret_6m,f_ge_8_ret_6m,f_ge_7_ret_6m,f_le_5_ret_6m,top_dec_ret_12m,bot_dec_ret_12m,f_ge_8_ret_12m,f_ge_7_ret_12m,f_le_5_ret_12m,scenario
2018-12-31,388,-0.011706401657392621,0.025213938665377182,-0.011706401657392621,0.005517905045622876,0.025184169285372433,13,43,281,-0.03687870973290454,-0.02319497688927534,-0.03687870973290454,-0.031796157814440465,-0.012593358142574007,0.15365738801205048,0.27757792169795065,0.15365738801205048,0.1572743603782199,0.18714384554460625,P/B bottom 30%
2019-03-31,390,0.004534674521763875,-0.054450655279624095,0.004534674521763875,-0.02883214900709683,-0.05246153651890478,13,42,300,0.11159638130870306,0.13638248990679602,0.11159638130870306,0.0807150359979529,0.09868691103807031,-0.14646805238199592,-0.1586031236503527,-0.14646805238199592,-0.24527268702214652,-0.21359907458643657,P/B bottom 30%
2019-06-30,393,0.17553606947576206,0.13471811779274245,0.17553606947576206,0.1304091799684841,0.13910941044510208,11,42,287,0.19858389890275482,0.23515570408782732,0.19858389890275482,0.1404108865725908,0.19762304526916477,0.05693814190564394,0.11990476288188931,0.05693814190564394,0.08892497220580194,0.0349192967400522,P/B bottom 30%
2019-09-30,392,0.0033611741016004665,0.04649459596991532,0.0033611741016004665,0.013286358744332684,0.039518099981012474,9,32,293,-0.299475351468688,-0.2161292907123604,-0.299475351468688,-0.2782926057653244,-0.23548259769160204,-0.14154958689011035,0.09764104332978747,-0.14154958689011035,-0.11192860661393245,0.032499757900612894,P/B bottom 30%
2019-12-31,398,-0.2131414524322918,-0.30777036672094915,-0.2131414524322918,-0.2913863286798678,-0.32055839955888565,15,62,265,-0.02602344945799962,-0.08235971839962701,-0.02602344945799962,-0.08901939567999437,-0.09421680519552426,0.3399290992098475,0.8120056965527896,0.3399290992098475,0.179616165856925,0.4381702298537379,P/B bottom 30%
2020-03-31,398,0.34323524987902587,0.33147256792337293,0.34323524987902587,0.292019396691052,0.34952509706312906,6,24,328,0.5815173029425081,0.4542598897474759,0.5815173029425081,0.4463734905233056,0.46509724687294024,2.1047135704070388,1.3240204675368226,2.1047135704070388,1.5703425123203045,1.3288494750881856,P/B bottom 30%
2020-06-30,400,-0.05857074755903088,0.09196045394569395,-0.05857074755903088,0.058170605505585046,0.08213803281495749,3,20,335,0.23548409083055333,0.6476763326876173,0.23548409083055333,0.445729121833444,0.5034528082465396,0.20793314197345125,1.0110430178593415,0.20793314197345125,0.592384519479206,0.7703483285165279,P/B bottom 30%
2020-09-30,401,0.25195157601705365,0.2914811902012114,0.25195157601705365,0.20735558284104416,0.25480201679507286,11,36,314,0.40878069323503874,0.5590855534322458,0.40878069323503874,0.3976571578081745,0.49530418389267056,0.6315654222860598,0.8076341210709391,0.6315654222860598,0.6065446906818063,0.6991107390272137,P/B bottom 30%
2020-12-31,409,0.19000007237966954,0.13842092160238537,0.19000007237966954,0.20052461761784493,0.15350187441017754,16,51,296,0.15547357017788316,0.12727781877709932,0.15547357017788316,0.17248318412520477,0.13976225034395903,0.22124614877797721,0.238403217967543,0.22124614877797721,0.2263837668697751,0.2634760557100576,P/B bottom 30%
2021-03-31,412,-0.046873410748299225,-0.004286966399106026,-0.046873410748299225,0.013203361924503368,-0.004980505347607295,16,57,267,0.024256886550737454,0.08989171880135396,0.024256886550737454,0.11432210064702406,0.09141983952420342,0.03713925347550665,0.1562448526331285,0.03713925347550665,0.04577630422689195,0.07776927518373698,P/B bottom 30%
