combo,description,horizon,universe,mean,std,ir,p,ci_low,ci_high,win_rate,n
combo_tech_chip_equal,Tech15 + Chip20 all equal-wt,60,all,0.015376441791291556,0.08759667396573073,0.1755368222919865,0.0,0.005237515026176549,0.02561145924860434,54.06831435712303,3601
combo_tech50_chip50,Tech 50% + Chip 50%,60,all,0.015239804605275624,0.08840451019975479,0.17238718444161344,0.0,0.004895583990043708,0.02548236777333551,53.818383782282694,3601
combo_tech70_chip30,Tech 70% + Chip 30%,60,all,0.014620146534409255,0.08998982497804776,0.16246444015171396,0.0,0.0041358547063622296,0.024858505798316534,52.901971674534856,3601
combo_tech_only,Tech baseline: RVOL - ATR%,60,momentum,0.06761135073204459,0.14194326373135857,0.4763265896154512,0.0,0.046581766897926105,0.08965708716178987,71.0978603998597,2851
combo_tech_chip_top,Tech top (RVOL+ATR) + Chip top3,60,momentum,0.06096770631574722,0.13615056412514087,0.4477962078784309,0.0,0.04006113295598842,0.08298500384665763,70.50157839354613,2851
combo_chip_top3,Chip top3 (margin_short + trust10 + margin20),60,momentum,0.013129864594326137,0.06542191003102332,0.2006952195082642,1.5812462450526255e-11,0.0011591182911408406,0.02786464250138851,56.559513466550825,1151
combo_chip_equal,Chip 20 equal-wt (flipped),60,momentum,0.00789205620750551,0.0650467363231977,0.12132901131722049,4.1257361681257265e-05,-0.0029121570864399098,0.021543233221962048,51.52041702867072,1151
combo_tech50_chip50,Tech 50% + Chip 50%,60,momentum,0.008016640301299087,0.1054907794619091,0.07599375359809298,5.0896718145176933e-05,-0.004664167979654778,0.02295126807601425,53.27955103472466,2851
combo_tech70_chip30,Tech 70% + Chip 30%,60,momentum,0.008129175713566594,0.10814482600043536,0.07516934479633698,6.1327716684767e-05,-0.004625370237375346,0.023540814738181128,53.454928095405116,2851
combo_tech_chip_equal,Tech15 + Chip20 all equal-wt,60,momentum,0.00782083352970312,0.10410565458550196,0.0751240032142526,6.195652165619236e-05,-0.00457952977923285,0.022609772932641096,53.41985268326903,2851
