stock_id,drop_wk,reentry_wk,gap_days,reentry_fwd_20d,reentry_fwd_60d
6531,2023-03-31,2023-04-14,14,-0.11821086261980829,0.009584664536741228
6531,2024-04-12,2024-05-10,28,0.03649635036496357,-0.15912408759124086
6531,2024-06-14,2024-07-05,21,-0.3358681875792142,-0.23574144486692017
6531,2024-10-04,2024-10-11,7,0.046280991735537125,0.023140495867768562
6531,2025-02-14,2025-03-14,28,-0.1872852233676976,0.08247422680412364
6538,2020-02-27,2020-03-13,15,-0.14160841271803726,-0.04370627672679617
6538,2020-08-28,2020-09-11,14,-0.10588235294117643,-0.2450980392156863
6538,2020-09-18,2020-09-25,7,-0.11111111111111116,-0.19444444444444442
6643,2023-08-11,2023-09-01,21,-0.10781080953247724,0.11661168536562716
6643,2024-03-01,2024-03-15,14,-0.007575754212858388,-0.14015145293788112
6770,2022-01-14,2022-01-26,12,-0.19938645389236043,-0.1564416783077347
6789,2024-04-26,2024-05-10,14,0.20849420849420852,0.07528957528957525
6789,2024-05-31,2024-06-07,7,0.19169329073482433,-0.10862619808306706
6890,2025-08-15,2025-08-22,7,0.02183406113537112,0.048034934497816595
6962,2025-01-17,2025-02-14,28,-0.16467070826590036,-0.1586826617448699
8016,2023-01-13,2023-02-03,21,0.09976247030878871,0.061757719714964354
8046,2020-04-30,2020-05-22,22,0.28650647758177805,1.5600740093597585
8046,2020-06-19,2020-07-03,14,0.18623957746007247,0.34045072252988184
8046,2025-05-23,2025-05-29,6,0.0714285714285714,0.7714285714285714
8054,2021-12-24,2021-12-30,6,-0.11754970379886998,-0.04304639442276115
8081,2021-05-07,2021-06-04,28,0.07373271889400912,0.20737327188940102
8081,2021-06-11,2021-07-02,21,0.19256017505470457,0.07002188183807445
8086,2020-03-13,2020-04-01,19,0.1132075471698113,0.20251570407699493
8086,2020-07-03,2020-07-10,7,-0.024752475247524774,0.034653465346534684
8086,2020-09-25,2020-09-30,5,-0.019704433497536922,0.35960591133004915
8086,2021-08-20,2021-08-27,7,-0.13196480938416422,-0.12609970674486803
8086,2024-04-19,2024-05-17,28,0.07003891050583655,-0.2023346303501945
8261,2020-12-04,2020-12-11,7,0.1746384502977203,0.23248054695374565
8261,2022-06-02,2022-06-10,8,-0.23970037453183524,-0.1235955056179775
8299,2020-12-11,2020-12-18,7,0.16133942161339432,0.44748858447488593
8299,2021-01-08,2021-01-15,7,0.14341085271317833,0.4883720930232558
8299,2021-02-19,2021-03-19,28,0.142550911039657,0.05787781350482324
8299,2022-04-08,2022-04-15,7,-0.10167464114832536,-0.36124401913875603
8299,2025-05-16,2025-06-13,28,-0.06463878326996197,0.024714828897338448
8924,2021-07-16,2021-07-30,14,-0.04892966360856266,0.024464831804281273
8924,2021-08-06,2021-08-20,14,0.02614379084967311,0.045751633986928164
9802,2022-10-21,2022-10-28,7,0.11940298507462677,0.02238805970149249
9802,2022-11-04,2022-11-11,7,0.09219858156028371,-0.03546099290780147
9802,2022-12-23,2022-12-30,7,-0.14473684210526316,-0.15131578947368418
9904,2025-02-07,2025-02-14,7,-0.029609750838155202,-0.11305519758898819
9904,2025-03-07,2025-03-14,7,-0.12116997503976745,-0.13370476157080513
9945,2025-09-05,2025-09-19,14,0.013333320617675781,0.0049999872843424775
