date,Adj Close,Close,High,Low,Open,Volume,ret,nav
2018-04-12,10955.2900390625,10955.2900390625,11008.2001953125,10920.6201171875,10984.1201171875,2248200,-0.0017067121244103145,1.41139864157081
2018-04-13,10965.3896484375,10965.3896484375,10988.23046875,10938.3701171875,10975.580078125,2400400,0.0009218933810961616,1.4126998006365623
2018-04-16,10954.5498046875,10954.5498046875,10974.9404296875,10921.169921875,10962.3603515625,2341000,-0.0009885507125179105,1.411303275242069
2018-04-17,10810.4501953125,10810.4501953125,10965.2001953125,10799.0703125,10953.509765625,2646400,-0.013154315964069907,1.3927385460384083
2018-04-18,10847.8896484375,10847.8896484375,10917.599609375,10809.8896484375,10842.8798828125,2189700,0.003463264937961119,1.3975619686126501
2018-04-19,10971.2197265625,10971.2197265625,10983.9599609375,10889.7099609375,10891.66015625,2490200,0.011369038782834906,1.4134509048352224
2018-04-20,10779.3798828125,10779.3798828125,10831.5595703125,10770.0498046875,10802.419921875,2349600,-0.017485735272035008,1.3887356764932552
2018-04-23,10697.1298828125,10697.1298828125,10774.73046875,10687.25,10756.8896484375,2324700,-0.007630309061762097,1.3781391940765164
2018-04-24,10579.5,10579.5,10692.1904296875,10540.150390625,10680.3798828125,2664800,-0.010996396613029868,1.3629846289104897
2018-04-25,10559.9697265625,10559.9697265625,10573.73046875,10489.2001953125,10541.830078125,2555100,-0.0018460488149251164,1.3604684927515283
2018-04-26,10488.580078125,10488.580078125,10618.6796875,10478.98046875,10583.080078125,2633700,-0.006760402755504713,1.3512711778043536
2018-04-27,10553.4296875,10553.4296875,10573.6103515625,10495.669921875,10546.2900390625,2079000,0.006182877843517787,1.3596259224301843
2018-04-30,10657.8798828125,10657.8798828125,10660.6103515625,10539.6298828125,10553.41015625,2120800,0.009897274952825663,1.3730825140174652
2018-05-02,10618.8095703125,10618.8095703125,10683.900390625,10601.099609375,10665.51953125,2252100,-0.003665861590634645,1.3680489835685565
2018-05-03,10514.1796875,10514.1796875,10578.98046875,10509.0302734375,10578.98046875,2113300,-0.009853259173704276,1.3545692423711329
2018-05-04,10529.3701171875,10529.3701171875,10566.3701171875,10500.9697265625,10516.4501953125,2055900,0.0014447565229991355,1.3565262651199026
2018-05-07,10604.91015625,10604.91015625,10632.6201171875,10555.5595703125,10581.7802734375,1965200,0.0071742220305459625,1.36625828573614
2018-05-08,10691.3798828125,10691.3798828125,10691.3798828125,10609.0400390625,10610.4404296875,2300800,0.008153744377696448,1.3773984065519422
2018-05-09,10703.349609375,10703.349609375,10748.599609375,10689.8095703125,10692.8896484375,2414400,0.001119567978474123,1.3789404977015192
2018-05-10,10760.2099609375,10760.2099609375,10782.0595703125,10731.6796875,10731.6796875,2472700,0.00531238851739424,1.3862659653676785
2018-05-11,10858.98046875,10858.98046875,10874.6298828125,10808.400390625,10808.400390625,2782800,0.009179236108873612,1.3989908279734842
2018-05-14,10952.3896484375,10952.3896484375,10970.240234375,10908.8603515625,10938.2998046875,2550800,0.00860202115256703,1.4110249766679595
2018-05-15,10874.73046875,10874.73046875,10978.3798828125,10874.73046875,10965.080078125,2652800,-0.007090615124214383,1.4010199416277533
2018-05-16,10897.5703125,10897.5703125,10915.740234375,10865.0703125,10873.5400390625,2905400,0.0021002675712868957,1.4039624583778805
2018-05-17,10833.8095703125,10833.8095703125,10938.6298828125,10833.8095703125,10911.740234375,2510000,-0.005850913585238704,1.3957479953569922
2018-05-18,10830.83984375,10830.83984375,10893.349609375,10819.0703125,10844.08984375,2570800,-0.00027411655551323744,1.3953653977241405
2018-05-21,10966.2001953125,10966.2001953125,10979.099609375,10861.66015625,10861.66015625,2401700,0.012497678251664812,1.412804225508403
2018-05-22,10938.73046875,10938.73046875,11034.1201171875,10938.73046875,10986.76953125,2535800,-0.0025049448371590177,1.4092652288577994
2018-05-23,10886.1796875,10886.1796875,10991.8603515625,10886.1796875,10974.51953125,2468500,-0.004804102395623344,1.4024949743957749
2018-05-24,10936.9296875,10936.9296875,10942.6396484375,10883.51953125,10910.6103515625,2239900,0.00466187417963293,1.4090332295039756
2018-05-25,10942.2998046875,10942.2998046875,10977.8095703125,10918.1201171875,10946.6201171875,2219900,0.000491007745403893,1.4097250757331934
2018-05-28,10987.76953125,10987.76953125,10999.4296875,10965.1796875,10976.490234375,2463800,0.004155408586321352,1.4155830594172476
2018-05-29,10964.1201171875,10964.1201171875,10986.5302734375,10929.5595703125,10979.6796875,2424700,-0.0021523398352358836,1.4125362436083788
2018-05-30,10821.169921875,10821.169921875,10925.2099609375,10799.75,10925.2099609375,3159000,-0.013037999746866036,1.3941195964217736
2018-05-31,10874.9599609375,10874.9599609375,10909.6103515625,10853.650390625,10856.0302734375,4494100,0.004970815489530711,1.4010495077059253
