scheme,week,ret,n_picks,overlap_jaccard
S0_LIVE,2023-10-13,0.07294589553698089,50,0.639344262295082
S0_LIVE,2023-10-20,0.13163573776816123,50,0.9607843137254902
S0_LIVE,2023-10-27,0.15460092124986294,50,0.8867924528301887
S0_LIVE,2023-11-03,0.12668685160520507,50,0.8867924528301887
S0_LIVE,2023-11-10,0.10206094319735673,50,0.639344262295082
S0_LIVE,2023-11-17,0.11828799805481406,50,0.9230769230769231
S0_LIVE,2023-11-24,0.12972086175646463,50,0.8867924528301887
S0_LIVE,2023-12-01,0.12443784692716474,50,0.8518518518518519
S0_LIVE,2023-12-08,0.10968345915360472,50,0.8181818181818182
S0_LIVE,2023-12-15,0.1352250796750908,50,0.6666666666666666
S0_LIVE,2023-12-22,0.11716456093849484,50,0.9230769230769231
S0_LIVE,2023-12-29,0.12001847976533558,50,0.8518518518518519
S0_LIVE,2024-01-05,0.1425759112715533,50,0.5384615384615384
S0_LIVE,2024-01-12,0.09473227179940683,50,0.6949152542372882
S0_LIVE,2024-01-19,0.12134471576475508,50,0.9230769230769231
S0_LIVE,2024-01-26,0.10654781454756405,50,0.9230769230769231
S0_LIVE,2024-02-02,0.0843275788656798,50,0.8181818181818182
S0_LIVE,2024-02-05,0.10084747278444976,50,0.9230769230769231
S0_LIVE,2024-02-16,0.057128856345794926,50,0.6666666666666666
S0_LIVE,2024-02-23,0.018109089512961616,50,0.8518518518518519
S0_LIVE,2024-03-01,0.00811314826465086,50,0.8181818181818182
S0_LIVE,2024-03-08,0.02696794250734125,50,0.7241379310344828
S0_LIVE,2024-03-15,0.08542868339127555,50,0.5151515151515151
S0_LIVE,2024-03-22,0.0808954958925103,50,0.8181818181818182
S0_LIVE,2024-03-29,0.03713672174359267,50,0.8518518518518519
S0_LIVE,2024-04-03,0.1206025326540717,50,0.2987012987012987
S0_LIVE,2024-04-12,0.1596470439861027,50,0.5873015873015873
S0_LIVE,2024-04-19,0.2749578807995562,50,0.8181818181818182
S0_LIVE,2024-04-26,0.17765825934791074,50,0.9230769230769231
S0_LIVE,2024-05-03,0.11847346538516824,50,0.9230769230769231
S0_LIVE,2024-05-10,-0.003357422589993062,50,0.4925373134328358
S0_LIVE,2024-05-17,0.0018238464168700253,50,0.8518518518518519
S0_LIVE,2024-05-24,0.033829948983429385,50,0.8181818181818182
S0_LIVE,2024-05-31,0.06636890049942931,50,0.8518518518518519
S0_LIVE,2024-06-07,-0.04469487372967358,50,0.8867924528301887
S0_LIVE,2024-06-14,-0.06407032609321453,50,0.6666666666666666
S0_LIVE,2024-06-21,-0.06378375246799878,50,0.8867924528301887
S0_LIVE,2024-06-28,-0.05059294567282233,50,0.9230769230769231
S0_LIVE,2024-07-05,-0.05854503243501956,50,0.2987012987012987
S0_LIVE,2024-07-12,-0.01496842732765111,50,0.639344262295082
S0_LIVE,2024-07-19,0.041182212173705254,50,0.8867924528301887
S0_LIVE,2024-07-26,0.05939124992716377,50,0.8867924528301887
S0_LIVE,2024-08-02,0.08815607637367702,50,0.8867924528301887
S0_LIVE,2024-08-09,0.14416527056761574,50,0.9607843137254902
S0_LIVE,2024-08-16,0.04538905711686374,50,0.7241379310344828
S0_LIVE,2024-08-23,0.032476918231872466,50,0.8181818181818182
S0_LIVE,2024-08-30,-0.02556784058532511,50,0.7857142857142857
