week,v_n,q_n,overlap_n,overlap_pct,v_ret,q_ret,dual_ret_naive,overlap_ids
2022-05-13,20,3,2,0.1,-0.019399961944184963,-0.03560643878048327,-0.02750320036233412,"2603,2609"
2022-05-20,20,3,0,0.0,-0.1492237311021439,-0.004642681734979466,-0.07693320641856169,
2022-05-27,20,4,2,0.1,-0.144012614115164,-0.1612205049638469,-0.15261655953950545,"2603,2609"
2022-06-02,20,3,2,0.1,-0.30096119386342635,-0.22938425494282452,-0.26517272440312545,"2603,2609"
2022-06-10,20,3,1,0.05,-0.21911709397282103,-0.21307706464228204,-0.21609707930755154,2609
2022-06-17,20,4,1,0.05,-0.13678721120377577,-0.11039011813672397,-0.12358866467024987,3533
2022-06-24,20,3,0,0.0,-0.010080517457237504,-0.058472552744537366,-0.034276535100887434,
2022-07-01,20,2,0,0.0,0.045418879283435895,-0.0010813733441470408,0.022168752969644427,
2022-07-08,20,3,0,0.0,-0.007367983936273947,0.07480359356143766,0.03371780481258186,
2022-07-15,20,2,0,0.0,0.04975908599020779,0.007178905731370477,0.028468995860789135,
2022-07-22,20,2,0,0.0,0.033955811323379166,-0.009055298094235331,0.012450256614571917,
2022-07-29,20,1,0,0.0,0.05052110856170924,-0.06386298004142588,-0.00667093573985832,
2022-08-05,20,4,0,0.0,0.022848395365769637,0.015214138499916957,0.019031266932843297,
2022-08-12,20,4,0,0.0,-0.022214131442502626,0.0740648082975135,0.025925338427505433,
2022-08-19,20,3,0,0.0,-0.11992170301052166,-0.06069237750685482,-0.09030704025868824,
2022-08-26,20,4,0,0.0,-0.1642484037679036,-0.06350090674298842,-0.113874655255446,
2022-09-02,20,4,1,0.05,-0.12424564986387718,-0.05245112643297825,-0.08834838814842771,3533
2022-09-08,20,4,0,0.0,-0.06956887218920964,-0.0348978122858119,-0.05223334223751077,
2022-09-16,20,3,1,0.05,-0.12188199189790913,-0.11013976909510907,-0.1160108804965091,3163
2022-09-23,20,3,0,0.0,-0.07455987850893364,-0.06302500251552652,-0.06879244051223007,
2022-09-30,20,5,0,0.0,0.018516927442838154,-0.05111264587228139,-0.01629785921472162,
2022-10-07,20,4,0,0.0,0.015919857101361113,-0.03396713746799432,-0.009023640183316603,
2022-10-14,20,3,0,0.0,0.13480068353378755,0.061801372082304705,0.09830102780804613,
2022-10-21,20,1,0,0.0,0.20993225348428163,0.09737827715355807,0.15365526531891985,
2022-10-28,20,1,1,0.05,0.17549053196491987,0.15214567024434555,0.1638181011046327,3533
2022-11-04,20,3,0,0.0,0.1694788931215298,0.2534688864428307,0.21147388978218026,
2022-11-18,20,1,0,0.0,0.02478154288841421,0.047306176084099816,0.03604385948625701,
2022-11-25,20,5,1,0.05,-0.019450785790403113,-0.04184310634150212,-0.03064694606595262,2474
2022-12-02,20,1,1,0.05,-0.0637847330593742,-0.04249291784702547,-0.05313882545319983,2474
2022-12-09,20,2,0,0.0,-0.008619806692159688,-0.03663793103448276,-0.022628868863321223,
2022-12-16,20,2,0,0.0,0.015066896251490675,-0.05125752187157673,-0.018095312810043028,
2022-12-23,20,3,1,0.05,0.15785199950243295,0.02316906924185728,0.09051053437214511,3533
2022-12-30,20,5,2,0.1,0.16502117409320244,0.03623990072153589,0.10063053740736916,"3008,3533"
2023-01-06,20,5,2,0.1,0.11345860842352924,0.15963200246843806,0.13654530544598364,"3008,6531"
2023-01-13,20,4,0,0.0,0.08967190398761012,0.15036522911629024,0.12001856655195017,
2023-01-17,20,3,1,0.05,0.09639933765301865,0.04767846263426101,0.07203890014363984,3008
2023-02-03,20,2,1,0.05,0.10450737428757104,0.02616110288262652,0.06533423858509878,3533
2023-02-10,20,2,0,0.0,0.037940429821244834,-0.0294229198272844,0.004258754996980217,
2023-02-17,20,5,1,0.05,0.05459659542519837,0.07011684217013281,0.06235671879766559,8046
2023-02-24,20,4,0,0.0,0.04285963641450937,0.030671278955148623,0.036765457684829,
2023-03-03,20,4,0,0.0,0.0410719323154817,0.06125961736601959,0.05116577484075065,
2023-03-10,20,3,1,0.05,0.07580435444715486,0.12386968597337034,0.0998370202102626,4979
2023-03-17,20,5,1,0.05,0.13301764606340205,0.0475550277392486,0.09028633690132533,3008
2023-03-24,20,3,2,0.1,-0.014904653532974039,-0.0033586596089376273,-0.009131656570955833,"3008,4979"
2023-03-31,20,2,1,0.05,-0.0042438957884263166,0.034096395236562604,0.014926249724068145,2412
2023-04-07,20,1,1,0.05,0.0031349877491129276,0.045454545454545414,0.024294766601829172,2412
2023-04-14,20,3,1,0.05,-0.07649064114630451,-0.02485327967917428,-0.05067196041273939,3293
