universe,score,label,liquidity,horizon,direction,ic_mean,ic_ir,ic_win,ic_t,ic_n,gross_spread,cost_roundtrip,net_spread,monotonic_rho
full,flow_turn_cont_20d,prior_ret(20d)×法人流量/成交額 (turnover-norm 對照),liq_50m,20,top,0.015253180259038825,0.20440004885634475,58.31509846827133,10.703226610911754,2742,0.0017775507998506815,0.0025,-0.0032224492001493186,0.7212121212121211
full,flow_turn_cont_20d,prior_ret(20d)×法人流量/成交額 (turnover-norm 對照),liq_50m,20,top,0.015253180259038825,0.20440004885634475,58.31509846827133,10.703226610911754,2742,0.0017775507998506815,0.0035,-0.005222449200149319,0.7212121212121211
full,flow_turn_cont_20d,prior_ret(20d)×法人流量/成交額 (turnover-norm 對照),liq_50m,60,top,0.01709097971563366,0.22900314761121943,61.76905995558846,11.903758954465424,2702,0.008555194546176745,0.0025,0.0035551945461767447,0.9151515151515152
full,flow_turn_cont_20d,prior_ret(20d)×法人流量/成交額 (turnover-norm 對照),liq_50m,60,top,0.01709097971563366,0.22900314761121943,61.76905995558846,11.903758954465424,2702,0.008555194546176745,0.0035,0.0015551945461767447,0.9151515151515152
full,mom_only_5d,純動量 5d baseline (對照),liq_50m,5,top,-0.022602219478184766,-0.16710269941334432,42.78462654097172,-8.77567632226045,2758,0.0024882954608371906,0.0025,-0.0025117045391628095,0.5757575757575757
full,mom_only_5d,純動量 5d baseline (對照),liq_50m,5,top,-0.022602219478184766,-0.16710269941334432,42.78462654097172,-8.77567632226045,2758,0.0024882954608371906,0.0035,-0.00451170453916281,0.5757575757575757
full,mom_only_5d,純動量 5d baseline (對照),liq_50m,20,top,0.0012878409552552175,0.00998103524793924,50.60153117025155,0.522743321577924,2743,0.01040390435908995,0.0025,0.005403904359089951,0.9999999999999999
full,mom_only_5d,純動量 5d baseline (對照),liq_50m,20,top,0.0012878409552552175,0.00998103524793924,50.60153117025155,0.522743321577924,2743,0.01040390435908995,0.0035,0.0034039043590899506,0.9999999999999999
full,mom_only_5d,純動量 5d baseline (對照),liq_50m,60,top,0.013372063375924725,0.10825313903274363,55.678875323714394,5.6281222378806,2703,0.02334365856969036,0.0025,0.01834365856969036,0.8787878787878788
full,mom_only_5d,純動量 5d baseline (對照),liq_50m,60,top,0.013372063375924725,0.10825313903274363,55.678875323714394,5.6281222378806,2703,0.02334365856969036,0.0035,0.01634365856969036,0.8787878787878788
full,mom_only_20d,純動量 20d baseline (對照),liq_50m,5,top,-0.015510079672998264,-0.10357852265438176,47.62422923467537,-5.4386122356225775,2757,0.005257692291489939,0.0025,0.0002576922914899393,0.9999999999999999
full,mom_only_20d,純動量 20d baseline (對照),liq_50m,5,top,-0.015510079672998264,-0.10357852265438176,47.62422923467537,-5.4386122356225775,2757,0.005257692291489939,0.0035,-0.0017423077085100607,0.9999999999999999
full,mom_only_20d,純動量 20d baseline (對照),liq_50m,20,top,-0.01032571612331203,-0.07018433506376588,48.796498905908095,-3.675140230771663,2742,0.016754857619041125,0.0025,0.011754857619041124,0.9999999999999999
full,mom_only_20d,純動量 20d baseline (對照),liq_50m,20,top,-0.01032571612331203,-0.07018433506376588,48.796498905908095,-3.675140230771663,2742,0.016754857619041125,0.0035,0.009754857619041126,0.9999999999999999
full,mom_only_20d,純動量 20d baseline (對照),liq_50m,60,top,0.010255317131849018,0.07468354151805284,54.21909696521096,3.8821076713146314,2702,0.038679093528661196,0.0025,0.0336790935286612,0.9999999999999999
full,mom_only_20d,純動量 20d baseline (對照),liq_50m,60,top,0.010255317131849018,0.07468354151805284,54.21909696521096,3.8821076713146314,2702,0.038679093528661196,0.0035,0.0316790935286612,0.9999999999999999
large_cap,flow_only_5d,"法人流量/市值 conviction (5d, 無動量)",all,5,top,-0.003794034669064765,-0.03227537983290923,49.57611500184298,-1.681110492779039,2713,0.0013982046886358412,0.0025,-0.003601795311364159,0.29696969696969694
large_cap,flow_only_5d,"法人流量/市值 conviction (5d, 無動量)",all,5,top,-0.003794034669064765,-0.03227537983290923,49.57611500184298,-1.681110492779039,2713,0.0013982046886358412,0.0035,-0.005601795311364159,0.29696969696969694
large_cap,flow_only_5d,"法人流量/市值 conviction (5d, 無動量)",all,20,top,-0.005353427277081181,-0.04600838262106995,49.4069681245367,-2.3897800924468906,2698,0.0016165612509960112,0.0025,-0.003383438749003989,0.22424242424242422
large_cap,flow_only_5d,"法人流量/市值 conviction (5d, 無動量)",all,20,top,-0.005353427277081181,-0.04600838262106995,49.4069681245367,-2.3897800924468906,2698,0.0016165612509960112,0.0035,-0.005383438749003989,0.22424242424242422
