horizon,w_rvol,w_trigger,w_quality,w_trend,mean_ret,win_rate,sharpe,n_days
40d,20,10,70,0,6.063,80.2,1.757,869
40d,20,10,60,10,6.146,79.6,1.743,869
40d,20,10,50,20,6.256,79.3,1.738,869
40d,20,10,40,30,6.307,79.2,1.725,869
40d,20,10,30,40,6.546,79.5,1.756,869
40d,20,10,20,50,6.303,79.3,1.711,869
40d,20,10,10,60,5.922,78.0,1.649,869
40d,20,20,60,0,5.96,79.6,1.732,869
40d,20,20,50,10,6.234,80.3,1.759,869
40d,20,20,40,20,6.282,78.8,1.72,869
40d,20,20,30,30,6.333,80.0,1.717,869
40d,20,20,20,40,6.288,78.9,1.695,869
40d,20,20,10,50,6.004,78.5,1.642,869
40d,20,20,0,60,5.45,74.9,1.504,869
40d,20,30,50,0,6.067,79.2,1.733,869
40d,20,30,40,10,6.195,79.1,1.721,869
40d,20,30,30,20,6.215,80.0,1.719,869
40d,20,30,20,30,6.121,78.6,1.681,869
40d,20,30,10,40,5.875,77.4,1.603,869
40d,20,30,0,50,5.572,75.8,1.518,869
40d,20,40,40,0,6.002,80.2,1.695,869
40d,20,40,30,10,6.035,78.8,1.71,869
40d,20,40,20,20,5.864,77.6,1.666,869
40d,20,40,10,30,5.681,77.3,1.584,869
40d,20,40,0,40,5.362,75.6,1.48,869
40d,20,50,30,0,5.732,78.6,1.671,869
40d,20,50,20,10,5.521,76.8,1.623,869
40d,20,50,10,20,5.446,77.1,1.567,869
40d,20,50,0,30,5.167,74.3,1.455,869
40d,20,60,20,0,5.246,76.6,1.584,869
40d,20,60,10,10,5.097,76.2,1.529,869
40d,20,60,0,20,4.865,73.5,1.415,869
40d,30,0,70,0,5.466,79.1,1.597,869
40d,30,0,60,10,5.402,77.6,1.568,869
40d,30,0,50,20,5.575,77.8,1.571,869
40d,30,0,40,30,5.827,78.4,1.61,869
40d,30,0,30,40,5.997,78.7,1.628,869
40d,30,0,20,50,5.884,78.4,1.629,869
40d,30,0,10,60,5.535,75.8,1.547,869
40d,30,10,60,0,5.449,79.3,1.609,869
40d,30,10,50,10,5.538,79.4,1.607,869
40d,30,10,40,20,5.648,78.3,1.612,869
40d,30,10,30,30,5.778,78.4,1.611,869
40d,30,10,20,40,5.735,78.4,1.588,869
40d,30,10,10,50,5.57,76.4,1.556,869
40d,30,10,0,60,5.334,74.6,1.474,869
40d,30,20,50,0,5.702,79.4,1.642,869
40d,30,20,40,10,5.695,78.5,1.607,869
40d,30,20,30,20,5.737,78.7,1.606,869
40d,30,20,20,30,5.702,77.6,1.578,869
40d,30,20,10,40,5.6,77.3,1.542,869
40d,30,20,0,50,5.278,75.0,1.452,869
40d,30,30,40,0,5.655,79.4,1.616,869
40d,30,30,30,10,5.639,78.8,1.605,869
40d,30,30,20,20,5.445,77.1,1.542,869
40d,30,30,10,30,5.35,76.5,1.507,869
40d,30,30,0,40,5.195,75.1,1.449,869
40d,30,40,30,0,5.412,78.1,1.579,869
40d,30,40,20,10,5.273,77.4,1.533,869
40d,30,40,10,20,5.174,76.6,1.5,869
40d,30,40,0,30,4.985,75.3,1.427,869
40d,30,50,20,0,5.077,77.9,1.525,869
40d,30,50,10,10,4.867,75.4,1.462,869
40d,30,50,0,20,4.778,74.3,1.409,869
40d,30,60,10,0,4.722,74.9,1.449,869
40d,30,60,0,10,4.603,73.1,1.379,869
40d,40,0,60,0,5.071,78.0,1.52,869
40d,40,0,50,10,5.125,78.0,1.519,869
40d,40,0,40,20,5.343,78.4,1.556,869
40d,40,0,30,30,5.566,77.7,1.584,869
40d,40,0,20,40,5.569,76.6,1.547,869
40d,40,0,10,50,5.276,75.3,1.477,869
40d,40,0,0,60,5.064,73.6,1.428,869
40d,40,10,50,0,5.249,79.1,1.556,869
40d,40,10,40,10,5.317,78.4,1.562,869
40d,40,10,30,20,5.404,77.7,1.553,869
40d,40,10,20,30,5.484,77.2,1.542,869
40d,40,10,10,40,5.263,74.8,1.472,869
40d,40,10,0,50,5.186,74.3,1.434,869
40d,40,20,40,0,5.3,78.0,1.545,869
40d,40,20,30,10,5.257,76.6,1.524,869
40d,40,20,20,20,5.252,75.9,1.514,869
40d,40,20,10,30,5.19,75.1,1.477,869
40d,40,20,0,40,5.023,74.0,1.408,869
40d,40,30,30,0,5.188,77.6,1.521,869
40d,40,30,20,10,5.106,76.1,1.48,869
40d,40,30,10,20,5.026,75.0,1.453,869
40d,40,30,0,30,4.851,74.2,1.384,869
40d,40,40,20,0,4.904,75.8,1.466,869
40d,40,40,10,10,4.787,75.0,1.42,869
40d,40,40,0,20,4.7,74.5,1.38,869
40d,40,50,10,0,4.597,74.7,1.41,869
40d,40,50,0,10,4.499,74.5,1.368,869
40d,40,60,0,0,4.364,74.2,1.352,869
40d,50,0,50,0,5.063,78.0,1.518,869
40d,50,0,40,10,5.116,77.8,1.516,869
40d,50,0,30,20,5.269,77.0,1.532,869
40d,50,0,20,30,5.351,76.2,1.535,869
40d,50,0,10,40,5.156,74.6,1.453,869
40d,50,0,0,50,4.96,73.1,1.391,869
40d,50,10,40,0,5.099,77.7,1.517,869
40d,50,10,30,10,5.147,77.2,1.515,869
40d,50,10,20,20,5.151,75.8,1.518,869
40d,50,10,10,30,5.063,74.7,1.458,869
40d,50,10,0,40,4.954,73.8,1.413,869
40d,50,20,30,0,4.926,76.4,1.47,869
40d,50,20,20,10,4.897,74.9,1.445,869
40d,50,20,10,20,4.85,74.9,1.433,869
40d,50,20,0,30,4.757,73.4,1.378,869
40d,50,30,20,0,4.736,75.4,1.427,869
40d,50,30,10,10,4.684,74.2,1.395,869
40d,50,30,0,20,4.548,73.4,1.348,869
40d,50,40,10,0,4.509,74.9,1.382,869
40d,50,40,0,10,4.4,74.2,1.325,869
40d,50,50,0,0,4.257,74.2,1.313,869
40d,60,0,40,0,4.894,77.3,1.468,869
40d,60,0,30,10,5.033,76.8,1.486,869
40d,60,0,20,20,5.067,74.9,1.495,869
40d,60,0,10,30,4.932,74.5,1.428,869
40d,60,0,0,40,4.838,73.1,1.395,869
40d,60,10,30,0,4.797,75.9,1.457,869
40d,60,10,20,10,4.735,75.6,1.419,869
40d,60,10,10,20,4.721,74.0,1.396,869
40d,60,10,0,30,4.635,73.2,1.361,869
40d,60,20,20,0,4.598,74.9,1.393,869
40d,60,20,10,10,4.502,74.2,1.358,869
40d,60,20,0,20,4.484,73.6,1.334,869
40d,60,30,10,0,4.384,73.6,1.34,869
40d,60,30,0,10,4.28,73.0,1.301,869
