run,mt_mode,cap_label,cap,period,side,n_weeks,n_years,cagr,vol_annual,sharpe,mdd,hit_rate,mean_qm_top1_sec,mean_qm_top3_sec,qm_skip,value_skip
theme_primary__no_cap,theme_primary,no_cap,,OOS_2024,qm,52,1.0,8.49,10.35,0.724,-7.77,48.1,0.21303418803418803,0.3698717948717949,0,0
theme_primary__no_cap,theme_primary,no_cap,,OOS_2024,dual,52,1.0,10.25,6.47,1.428,-3.94,59.6,0.21303418803418803,0.3698717948717949,0,0
theme_primary__no_cap,theme_primary,no_cap,,OOS_2025,value,51,0.98,-3.66,12.94,-0.36,-17.9,13.7,0.2844070961718021,0.44014939309056966,0,0
theme_primary__no_cap,theme_primary,no_cap,,OOS_2025,qm,51,0.98,19.92,15.57,1.215,-7.39,37.3,0.2844070961718021,0.44014939309056966,0,0
theme_primary__no_cap,theme_primary,no_cap,,OOS_2025,dual,51,0.98,7.95,10.7,0.65,-8.83,41.2,0.2844070961718021,0.44014939309056966,0,0
theme_primary__no_cap,theme_primary,no_cap,,FULL_2020_2025,value,309,5.94,12.44,10.88,1.052,-17.9,16.2,0.27902604407458775,0.43817742846869057,0,0
theme_primary__no_cap,theme_primary,no_cap,,FULL_2020_2025,qm,309,5.94,11.72,19.01,0.564,-23.64,37.9,0.27902604407458775,0.43817742846869057,0,0
theme_primary__no_cap,theme_primary,no_cap,,FULL_2020_2025,dual,309,5.94,12.63,11.73,0.991,-11.78,43.7,0.27902604407458775,0.43817742846869057,0,0
theme_primary__no_cap,theme_primary,no_cap,,BEAR_2022,value,51,0.98,10.33,9.79,0.953,-6.85,13.7,0.5399626517273576,0.67609710550887,0,0
theme_primary__no_cap,theme_primary,no_cap,,BEAR_2022,qm,51,0.98,17.22,16.15,1.005,-10.37,25.5,0.5399626517273576,0.67609710550887,0,0
theme_primary__no_cap,theme_primary,no_cap,,BEAR_2022,dual,51,0.98,14.05,10.9,1.198,-7.89,29.4,0.5399626517273576,0.67609710550887,0,0
theme_primary__no_cap,theme_primary,no_cap,,AI_ERA_2024_2025,value,103,1.98,3.73,10.85,0.252,-17.9,16.5,0.24837417167514247,0.40466944059177057,0,0
theme_primary__no_cap,theme_primary,no_cap,,AI_ERA_2024_2025,qm,103,1.98,14.67,13.16,1.038,-7.77,43.7,0.24837417167514247,0.40466944059177057,0,0
theme_primary__no_cap,theme_primary,no_cap,,AI_ERA_2024_2025,dual,103,1.98,9.42,8.78,0.959,-8.83,51.5,0.24837417167514247,0.40466944059177057,0,0
theme_primary__cap_40,theme_primary,cap_40,0.4,IS_2020_2022,value,155,2.98,23.69,11.09,2.046,-7.97,21.9,0.33571940604198663,0.4661239119303635,0,0
theme_primary__cap_40,theme_primary,cap_40,0.4,IS_2020_2022,qm,155,2.98,4.49,18.18,0.192,-23.64,33.5,0.33571940604198663,0.4661239119303635,0,0
theme_primary__cap_40,theme_primary,cap_40,0.4,IS_2020_2022,dual,155,2.98,14.2,11.76,1.122,-11.78,42.6,0.33571940604198663,0.4661239119303635,0,0
theme_primary__cap_40,theme_primary,cap_40,0.4,OOS_2023,value,51,0.98,5.1,3.4,1.203,-0.31,5.9,0.29822595704948646,0.569000933706816,0,0
theme_primary__cap_40,theme_primary,cap_40,0.4,OOS_2023,qm,51,0.98,10.98,18.94,0.527,-21.01,33.3,0.29822595704948646,0.569000933706816,0,0
theme_primary__cap_40,theme_primary,cap_40,0.4,OOS_2023,dual,51,0.98,8.45,10.1,0.738,-11.03,35.3,0.29822595704948646,0.569000933706816,0,0
theme_primary__cap_40,theme_primary,cap_40,0.4,OOS_2024,value,52,1.0,11.53,8.31,1.266,-3.2,19.2,0.21303418803418803,0.3698717948717949,0,0
theme_primary__cap_40,theme_primary,cap_40,0.4,OOS_2024,qm,52,1.0,8.49,10.35,0.724,-7.77,48.1,0.21303418803418803,0.3698717948717949,0,0
