score,label,liquidity,horizon,top_n,direction,mean_ret,std_ret,sharpe_proxy,win_rate,n_days
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),liq_50m,20,20,top,0.02023067311737645,0.0924023541932149,3.4755822224244763,0.5989121676067687,4964
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),liq_50m,20,20,bot,0.008036785779584962,0.08302649469455613,1.53661815481725,0.5342465753424658,4964
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),liq_50m,20,50,top,0.017435490778022273,0.07574561800493715,3.6540705957670236,0.6181773277352433,4049
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),liq_50m,20,50,bot,0.008075847986297732,0.07291356327805021,1.758247802227854,0.5510002469745616,4049
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),liq_50m,60,10,top,0.05489261743185663,0.19206666128249478,4.536931508102547,0.6074329813160032,4924
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),liq_50m,60,10,bot,0.02224630112475963,0.1681022382571019,2.100799405555227,0.5483346872461413,4924
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),liq_50m,60,20,top,0.04882466173569856,0.16426713175677876,4.718335728565939,0.6376929325751421,4924
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),liq_50m,60,20,bot,0.022777152717936268,0.15158380740038407,2.3853213360695253,0.5698619008935825,4924
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),liq_50m,60,50,top,0.04852020832898839,0.1394360162248206,5.523927387278448,0.657271139935146,4009
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),liq_50m,60,50,bot,0.0254034331344721,0.129318068794132,3.1184118575758237,0.5866799700673485,4009
sig_lambda_level,lambda level (低衝擊=高分),liq_100m,10,10,top,0.005271987342242202,0.04426546480147749,1.8906433019794247,0.5772014475271411,4974
sig_lambda_level,lambda level (低衝擊=高分),liq_100m,10,10,bot,0.00853503415977943,0.06981315618506466,1.94074404185569,0.5639324487334137,4974
sig_lambda_level,lambda level (低衝擊=高分),liq_100m,10,20,top,0.005704104691484404,0.045236428211558516,2.00170213201162,0.586082059533387,4972
sig_lambda_level,lambda level (低衝擊=高分),liq_100m,10,20,bot,0.007823665159857624,0.06216465658150569,1.997868900977589,0.5752212389380531,4972
sig_lambda_level,lambda level (低衝擊=高分),liq_100m,10,50,top,0.007557202906787914,0.04565103218030318,2.6279115994107367,0.6189649183744356,2879
sig_lambda_level,lambda level (低衝擊=高分),liq_100m,10,50,bot,0.008222270735837136,0.05865039509900062,2.2254667041081673,0.5838832928100035,2879
sig_lambda_level,lambda level (低衝擊=高分),liq_100m,20,10,top,0.010795528007826233,0.06454886424107549,2.6549451535197024,0.5868251410153102,4964
sig_lambda_level,lambda level (低衝擊=高分),liq_100m,20,10,bot,0.016151447628151922,0.1003481444613862,2.555067498286478,0.5682917002417406,4964
sig_lambda_level,lambda level (低衝擊=高分),liq_100m,20,20,top,0.011185858083330702,0.06536122339561067,2.7167482937299585,0.5929060862555421,4962
sig_lambda_level,lambda level (低衝擊=高分),liq_100m,20,20,bot,0.01500911071160314,0.08904472189776913,2.675759337340295,0.5773881499395405,4962
sig_lambda_level,lambda level (低衝擊=高分),liq_100m,20,50,top,0.014992705132222736,0.06569168309980368,3.623012904058322,0.6138027187173231,2869
sig_lambda_level,lambda level (低衝擊=高分),liq_100m,20,50,bot,0.015903670160739923,0.08299085423887775,3.0420573373593545,0.5921924015336354,2869
sig_lambda_level,lambda level (低衝擊=高分),liq_100m,60,10,top,0.03251938659933795,0.11656843143103336,4.428551126955074,0.6244922826969943,4924
sig_lambda_level,lambda level (低衝擊=高分),liq_100m,60,10,bot,0.03899521706921256,0.17553329885074145,3.526566663816162,0.570268074735987,4924
sig_lambda_level,lambda level (低衝擊=高分),liq_100m,60,20,top,0.03266381467138551,0.11924021805679415,4.348549435729495,0.6359203575782202,4922
sig_lambda_level,lambda level (低衝擊=高分),liq_100m,60,20,bot,0.03678422493870333,0.1580741188032423,3.6940358900576564,0.5973181633482324,4922
sig_lambda_level,lambda level (低衝擊=高分),liq_100m,60,50,top,0.04576118959550366,0.11827702961641837,6.141821168192712,0.6624248851184164,2829
sig_lambda_level,lambda level (低衝擊=高分),liq_100m,60,50,bot,0.044535385388204306,0.1403779446677123,5.036242177153479,0.6344998232591021,2829
sig_lambda_diverge,lambda 背離 (價漲+lambda 降=吸籌),liq_100m,10,10,top,0.010165137967065375,0.0695423861624403,2.3204058923742794,0.572778447929232,4974
sig_lambda_diverge,lambda 背離 (價漲+lambda 降=吸籌),liq_100m,10,10,bot,0.0037726684289228997,0.05998515316442602,0.998401295868085,0.5432247687977483,4974
sig_lambda_diverge,lambda 背離 (價漲+lambda 降=吸籌),liq_100m,10,20,top,0.009288878049248968,0.060085808183482275,2.4540964350921954,0.579847144006436,4972
sig_lambda_diverge,lambda 背離 (價漲+lambda 降=吸籌),liq_100m,10,20,bot,0.0039337582431452625,0.05496325671992703,1.1361494915317896,0.5667739340305712,4972
sig_lambda_diverge,lambda 背離 (價漲+lambda 降=吸籌),liq_100m,10,50,top,0.009695771176848169,0.0568279196873779,2.7084502945786384,0.5897525270128965,2869
sig_lambda_diverge,lambda 背離 (價漲+lambda 降=吸籌),liq_100m,10,50,bot,0.004705699482942304,0.05275542817466416,1.4159806117297038,0.5772046009062392,2869
sig_lambda_diverge,lambda 背離 (價漲+lambda 降=吸籌),liq_100m,20,10,top,0.017999041289163787,0.09972708415016185,2.8650784786010517,0.565068493150685,4964
sig_lambda_diverge,lambda 背離 (價漲+lambda 降=吸籌),liq_100m,20,10,bot,0.009144403307029562,0.08569695469581685,1.6939096931287678,0.548146655922643,4964
sig_lambda_diverge,lambda 背離 (價漲+lambda 降=吸籌),liq_100m,20,20,top,0.01605667528020056,0.08577482430995297,2.971639057195919,0.5892785167271262,4962
sig_lambda_diverge,lambda 背離 (價漲+lambda 降=吸籌),liq_100m,20,20,bot,0.00898812661528105,0.07841150493307315,1.8196575461745088,0.5624748085449416,4962
sig_lambda_diverge,lambda 背離 (價漲+lambda 降=吸籌),liq_100m,20,50,top,0.01723173936766619,0.07934186727802636,3.4476801659458163,0.5946135012242043,2859
sig_lambda_diverge,lambda 背離 (價漲+lambda 降=吸籌),liq_100m,20,50,bot,0.010014537740604075,0.07424369123356424,2.141270934944897,0.571528506470794,2859
sig_lambda_diverge,lambda 背離 (價漲+lambda 降=吸籌),liq_100m,60,10,top,0.051904534172073004,0.18597393175468993,4.430507696651819,0.6019496344435419,4924
sig_lambda_diverge,lambda 背離 (價漲+lambda 降=吸籌),liq_100m,60,10,bot,0.023054789042309287,0.15990294965770288,2.2887847334491864,0.5603168155970756,4924
sig_lambda_diverge,lambda 背離 (價漲+lambda 降=吸籌),liq_100m,60,20,top,0.04595424719490094,0.16100793496810345,4.530839170963163,0.6210889882161723,4922
sig_lambda_diverge,lambda 背離 (價漲+lambda 降=吸籌),liq_100m,60,20,bot,0.024875039504623195,0.14471683402343052,2.7286321799225415,0.5778138967899228,4922
sig_lambda_diverge,lambda 背離 (價漲+lambda 降=吸籌),liq_100m,60,50,top,0.053453718797989325,0.14747940649368776,5.75369470030155,0.6374600922312877,2819
sig_lambda_diverge,lambda 背離 (價漲+lambda 降=吸籌),liq_100m,60,50,bot,0.033360076380543065,0.1324016460448002,3.9997599028869333,0.6037601986520043,2819
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),liq_100m,10,10,top,0.014161618002524003,0.07558208596056464,2.974365069775104,0.5828307197426619,4974
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),liq_100m,10,10,bot,0.0029642739153347,0.06221610932083566,0.7563377090079353,0.5243264977885002,4974
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),liq_100m,10,20,top,0.011072369392144708,0.06301571398031208,2.789279116476645,0.587288817377313,4972
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),liq_100m,10,20,bot,0.0031491608009178496,0.05682505033395985,0.879741902785677,0.5454545454545454,4972
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),liq_100m,10,50,top,0.010752695403616766,0.05789411800935412,2.9483780673885396,0.5887068665040084,2869
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),liq_100m,10,50,bot,0.0041669136234112735,0.05372010229011624,1.231339857399526,0.5650052283025444,2869
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),liq_100m,20,10,top,0.023251574015190953,0.10806918657717036,3.4154721276306432,0.5866236905721193,4964
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),liq_100m,20,10,bot,0.007959640145843735,0.08858275364246504,1.426410502193261,0.5312248186946011,4964
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),liq_100m,20,20,top,0.018672141772374005,0.08956696730620978,3.309379231681367,0.6005642885933091,4962
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),liq_100m,20,20,bot,0.008231018945132909,0.08170912561946425,1.5991282981220818,0.5475614671503426,4962
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),liq_100m,20,50,top,0.018957323260207593,0.08085333030720446,3.7220257480600254,0.6072053165442463,2859
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),liq_100m,20,50,bot,0.009978890501720846,0.07648363589695427,2.0711616793533705,0.5536901014340678,2859
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),liq_100m,60,10,top,0.05434037978836929,0.19082292639594425,4.520561563043345,0.6068237205523964,4924
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),liq_100m,60,10,bot,0.02208417062409122,0.16437347943557903,2.1327974652515507,0.5379772542648253,4924
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),liq_100m,60,20,top,0.04662386115959247,0.16069283821376448,4.60587328574494,0.6284030881755384,4922
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),liq_100m,60,20,bot,0.024822616481902635,0.1477510492042294,2.6669646187189633,0.5700934579439252,4922
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),liq_100m,60,50,top,0.054623870375155543,0.14763558695905715,5.87342847225185,0.6438453352252572,2819
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),liq_100m,60,50,bot,0.03301924275799771,0.13490309155276678,3.8854871513375953,0.5909897126640653,2819
sig_lambda_level,lambda level (低衝擊=高分),ex_bottom20pct,10,10,top,0.005282557992433487,0.044264346663148206,1.8944820092724615,0.5780056292722155,4974
sig_lambda_level,lambda level (低衝擊=高分),ex_bottom20pct,10,10,bot,0.008345839205570863,0.05784083539743362,2.290528641401998,0.5589063128266988,4974
sig_lambda_level,lambda level (低衝擊=高分),ex_bottom20pct,10,20,top,0.005712818720863074,0.04522644155152411,2.0052027666220567,0.5860474467229594,4974
sig_lambda_level,lambda level (低衝擊=高分),ex_bottom20pct,10,20,bot,0.007542400769908139,0.051637895788744455,2.3186827914752532,0.5695617209489344,4974
sig_lambda_level,lambda level (低衝擊=高分),ex_bottom20pct,10,50,top,0.006126178391290727,0.04448264749744847,2.1862472792118837,0.6060422960725076,4965
sig_lambda_level,lambda level (低衝擊=高分),ex_bottom20pct,10,50,bot,0.006720825215686607,0.04662196575770474,2.2884018513827096,0.5863041289023162,4965
sig_lambda_level,lambda level (低衝擊=高分),ex_bottom20pct,20,10,top,0.010791251330091775,0.06454215383829688,2.6541693132351054,0.5872280419016922,4964
sig_lambda_level,lambda level (低衝擊=高分),ex_bottom20pct,20,10,bot,0.016776897031299233,0.08722679292059475,3.053247459635222,0.5600322320709106,4964
sig_lambda_level,lambda level (低衝擊=高分),ex_bottom20pct,20,20,top,0.011220690064186753,0.06536597448976757,2.7250099777539867,0.5932715551974215,4964
sig_lambda_level,lambda level (低衝擊=高分),ex_bottom20pct,20,20,bot,0.01529485231844157,0.07865926710705971,3.0867088186046066,0.5769540692989524,4964
sig_lambda_level,lambda level (低衝擊=高分),ex_bottom20pct,20,50,top,0.012096259624410008,0.06481138432311469,2.962784556556353,0.6113017154389505,4955
sig_lambda_level,lambda level (低衝擊=高分),ex_bottom20pct,20,50,bot,0.014451173658127942,0.07103256408084359,3.2295788964255006,0.5935418768920283,4955
