date,Dealer_self,Foreign_Dealer_Self,外資,投信,自營商,三大法人合計
2017-09-11,-58000,0,679000,-45000,-199000,377000
2017-09-12,-26000,0,1006200,25000,50000,1055200
2017-09-13,171000,0,1281768,124000,436000,2012768
2017-09-14,79000,0,523658,-20000,-319000,263658
2017-09-15,144000,0,2943625,22000,632000,3741625
2017-09-18,260000,0,-3779440,815000,-406000,-3110440
2017-09-19,-24000,0,1221648,-147000,-196000,854648
2017-09-20,-52000,0,-458594,-19000,-148000,-677594
2017-09-21,-2000,0,519684,0,208000,725684
2017-09-22,-79000,0,-432027,468000,-211000,-254027
2017-09-25,-20000,0,129754,-173000,8000,-55246
2017-09-26,-218000,0,591417,483000,294000,1150417
2017-09-27,-5000,0,-1084890,772000,815000,497110
2017-09-28,70000,0,1933720,57000,-985000,1075720
2017-09-29,-3000,0,3947150,212000,-457000,3699150
2017-09-30,103000,0,355000,3000,-331000,130000
2017-10-02,-3000,0,786000,1000,-177000,607000
2017-10-03,202000,0,-637033,-41445,121000,-355478
2017-10-05,39000,0,2240000,4000,-218000,2065000
2017-10-06,165000,0,286446,12000,-171000,292446
2017-10-11,98000,0,1530662,6000,51000,1685662
2017-10-12,154000,0,957871,807000,154000,2072871
2017-10-13,93000,0,478353,4000,-80000,495353
2017-10-16,40000,0,-519509,88000,351000,-40509
2017-10-17,-309000,0,-622119,-25000,-439000,-1395119
2017-10-18,-692000,0,1291965,-28000,-661000,-89035
2017-10-19,536000,0,-136,-53000,265000,747864
2017-10-20,-51000,0,360076,-97000,-142000,70076
2017-10-23,133000,0,1553283,-227000,422000,1881283
2017-10-24,-74000,0,-398000,1021000,-70000,479000
2017-10-25,-40000,0,982000,-12000,-140000,790000
2017-10-26,-263000,0,1027683,-19000,0,745683
2017-10-27,-91000,0,288118,-3000,-193000,1118
2017-10-30,43000,0,2008208,569000,534000,3154208
2017-10-31,112000,0,-38112,94000,-87000,80888
2017-11-01,98000,0,153000,67000,25000,343000
2017-11-02,130000,0,507000,0,364000,1001000
2017-11-03,123000,0,-293637,84000,-302000,-388637
2017-11-06,-106000,0,166097,-87000,-61000,-87903
2017-11-07,30000,0,572000,0,49000,651000
2017-11-08,95000,0,-480000,-126000,-47000,-558000
2017-11-09,-398000,0,-689000,-132000,-242000,-1461000
2017-11-10,-153000,0,900000,68000,134000,949000
2017-11-13,67000,0,601000,-513000,77000,232000
2017-11-14,-211000,0,10104000,618000,263000,10774000
2017-11-15,-248000,0,1125830,409000,-465000,821830
2017-11-16,701000,0,4885000,500000,460000,6546000
2017-11-17,289000,0,2898300,1043000,-272000,3958300
2017-11-20,24000,0,442216,404000,-32000,838216
2017-11-21,200000,0,376200,357000,-24000,909200
2017-11-22,129000,0,338000,86000,157000,710000
2017-11-23,308000,0,240600,329000,325000,1202600
2017-11-24,-279000,0,477000,1150000,-133000,1215000
2017-11-27,-343000,0,-327000,-2000,-465000,-1137000
2017-11-28,-24000,0,993230,-126000,-196000,647230
2017-11-29,-7000,0,-969000,98000,264000,-614000
2017-11-30,-119000,0,-314000,6000,-239000,-666000
2017-12-01,-215000,0,-1945000,-65000,-76000,-2301000
2017-12-04,-1000,0,-619000,44000,40000,-536000
2017-12-05,-333000,0,142000,-113000,-92000,-396000
2017-12-06,5000,0,-1173400,176000,192000,-800400
2017-12-07,-86000,0,949000,8000,-2000,869000
2017-12-08,40000,0,-1283000,610000,73000,-560000
2017-12-11,190000,0,-1619215,180000,47000,-1202215
2017-12-12,-186000,0,1680000,98000,178000,1770000
2017-12-13,-7000,0,-2941000,11000,-186000,-3123000
2017-12-14,-121000,0,-1655958,235000,113000,-1428958
2017-12-15,-186000,0,1393000,-4130000,-99000,-3022000
2017-12-18,-50000,0,423199,123000,132000,628199
2017-12-19,35000,0,-1465000,-481000,-156000,-2067000
2017-12-20,-275000,0,1166730,-88000,88000,891730
2017-12-21,-119000,0,-870766,127000,-105000,-967766
